ASSET	HOUSE	            ASSETVAL	                dist
   51	    6	  -6.692800000000001	   0.002710240235238
   52	    0	   3.466666666666667	   0.000000000000000
   52	    1	   1.456213333333333	   0.000005872279519
   52	    2	   0.953600000000000	   0.002853324159003
   52	    3	   0.450986666666666	   0.001337845076176
   52	    4	  -0.051626666666667	   0.000000000000000
   52	    5	  -0.554240000000001	   0.000000000000000
   52	    6	  -6.585600000000001	   0.002580339450160
   53	    0	   3.533333333333333	   0.000000000000000
   53	    1	   1.530986666666667	   0.000002662301662
   53	    2	   1.030399999999999	   0.002726652586420
   53	    3	   0.529813333333333	   0.001295357333590
   53	    4	   0.029226666666666	   0.000000000000000
   53	    5	  -0.471360000000001	   0.000000000000000
   53	    6	  -6.478400000000001	   0.002358396871978
   54	    0	   3.600000000000000	   0.000000000000000
   54	    1	   1.605760000000001	   0.000001249693694
   54	    2	   1.107200000000000	   0.002590456779058
   54	    3	   0.608640000000000	   0.001256530261933
   54	    4	   0.110080000000000	   0.000000000000000
   54	    5	  -0.388480000000000	   0.000000000000000
   54	    6	  -6.371200000000001	   0.002287805972535
   55	    0	   3.666666666666667	   0.000000000000000
   55	    1	   1.680533333333334	   0.000000000000000
   55	    2	   1.184000000000000	   0.002404190379726
   55	    3	   0.687466666666666	   0.001213230683453
   55	    4	   0.190933333333334	   0.000000000000000
   55	    5	  -0.305600000000000	   0.000000000000000
   55	    6	  -6.264000000000001	   0.002214158548042
   56	    0	   3.733333333333333	   0.000000000000000
   56	    1	   1.755306666666667	   0.000000000000000
   56	    2	   1.260799999999999	   0.002269302154571
   56	    3	   0.766293333333333	   0.001150827340699
   56	    4	   0.271786666666667	   0.000000000000000
   56	    5	  -0.222720000000000	   0.000000000000000
   56	    6	  -6.156800000000001	   0.002110086889860
   57	    0	   3.800000000000000	   0.000000000000000
   57	    1	   1.830080000000000	   0.000000000000000
   57	    2	   1.337599999999999	   0.002230610996511
   57	    3	   0.845119999999999	   0.001101016017167
   57	    4	   0.352640000000000	   0.000000000000000
   57	    5	  -0.139840000000001	   0.000000000000000
   57	    6	  -6.049600000000001	   0.002041793372308
   58	    0	   3.866666666666667	   0.000000000000000
   58	    1	   1.904853333333334	   0.000000000000000
   58	    2	   1.414400000000000	   0.002120642508231
   58	    3	   0.923946666666667	   0.001055497896423
   58	    4	   0.433493333333334	   0.000000000000000
   58	    5	  -0.056960000000000	   0.000000000000000
   58	    6	  -5.942400000000000	   0.001961516325660
   59	    0	   3.933333333333333	   0.000000000000000
   59	    1	   1.979626666666667	   0.000000000000000
   59	    2	   1.491200000000000	   0.002005971261543
   59	    3	   1.002773333333333	   0.001013887071208
   59	    4	   0.514346666666667	   0.000000000000000
   59	    5	   0.025920000000000	   0.000000000000000
   59	    6	  -5.835200000000000	   0.001883851099796
   60	    0	   4.000000000000000	   0.000000000000000
   60	    1	   2.054400000000000	   0.000000000000000
   60	    2	   1.568000000000000	   0.001828007860027
   60	    3	   1.081600000000000	   0.000962596491094
   60	    4	   0.595200000000000	   0.000000000000000
   60	    5	   0.108800000000000	   0.000000000000000
   60	    6	  -5.728000000000001	   0.001814305262660
   61	    0	   4.066666666666666	   0.000000000000000
   61	    1	   2.129173333333334	   0.000000000000000
   61	    2	   1.644799999999999	   0.001318174291020
   61	    3	   1.160426666666666	   0.000927561089396
   61	    4	   0.676053333333333	   0.000000000000000
   61	    5	   0.191680000000000	   0.000000000000000
   61	    6	  -5.620800000000001	   0.001746376772814
   62	    0	   4.133333333333333	   0.000000000000000
   62	    1	   2.203946666666667	   0.000000000000000
   62	    2	   1.721600000000000	   0.001217824942476
   62	    3	   1.239253333333333	   0.000871255642373
   62	    4	   0.756906666666667	   0.000000000000000
   62	    5	   0.274560000000000	   0.000000000000000
   62	    6	  -5.513600000000000	   0.001684676234246
   63	    0	   4.200000000000000	   0.000000000000000
   63	    1	   2.278720000000000	   0.000000000000000
   63	    2	   1.798400000000000	   0.001041438329798
   63	    3	   1.318080000000000	   0.000829888876423
   63	    4	   0.837760000000000	   0.000000000000000
   63	    5	   0.357440000000000	   0.000000000000000
   63	    6	  -5.406400000000001	   0.001627923891868
   64	    0	   4.266666666666667	   0.000000000000000
   64	    1	   2.353493333333334	   0.000000000000000
   64	    2	   1.875200000000000	   0.000900310425310
   64	    3	   1.396906666666666	   0.000782865796677
   64	    4	   0.918613333333334	   0.000000000000000
   64	    5	   0.440320000000000	   0.000000000000000
   64	    6	  -5.299200000000001	   0.001577539841678
   65	    0	   4.333333333333333	   0.000000000000000
   65	    1	   2.428266666666667	   0.000000000000000
   65	    2	   1.952000000000000	   0.000787528383739
   65	    3	   1.475733333333333	   0.000743738971532
   65	    4	   0.999466666666667	   0.000000000000000
   65	    5	   0.523200000000000	   0.000000000000000
   65	    6	  -5.192000000000001	   0.001533897115728
   66	    0	   4.400000000000000	   0.000000000000000
   66	    1	   2.503040000000000	   0.000000000000000
   66	    2	   2.028799999999999	   0.000674181311195
   66	    3	   1.554559999999999	   0.000699069371381
   66	    4	   1.080320000000000	   0.000000000000000
   66	    5	   0.606079999999999	   0.000000000000000
   66	    6	  -5.084800000000001	   0.001495185751033
   67	    0	   4.466666666666667	   0.000000000000000
   67	    1	   2.577813333333334	   0.000000000000000
   67	    2	   2.105600000000000	   0.000583120505072
   67	    3	   1.633386666666667	   0.000665378717700
   67	    4	   1.161173333333334	   0.000000000000000
   67	    5	   0.688960000000000	   0.000000000000000
   67	    6	  -4.977600000000001	   0.001424385634836
   68	    0	   4.533333333333333	   0.000000000000000
   68	    1	   2.652586666666667	   0.000000000000000
   68	    2	   2.182400000000000	   0.000501111603191
   68	    3	   1.712213333333333	   0.000624481339676
   68	    4	   1.242026666666667	   0.000000000000000
   68	    5	   0.771840000000000	   0.000000000000000
   68	    6	  -4.870400000000001	   0.001320210044461
   69	    0	   4.600000000000000	   0.000000000000000
   69	    1	   2.727360000000000	   0.000000000000000
   69	    2	   2.259199999999999	   0.000429419677819
   69	    3	   1.791040000000000	   0.000588034168187
   69	    4	   1.322880000000000	   0.000000000000000
   69	    5	   0.854720000000000	   0.000000000000000
   69	    6	  -4.763200000000000	   0.001256974431461
   70	    0	   4.666666666666667	   0.000000000000000
   70	    1	   2.802133333333333	   0.000000000000000
   70	    2	   2.335999999999999	   0.000366724821902
   70	    3	   1.869866666666666	   0.000550079204196
   70	    4	   1.403733333333333	   0.000000000000000
   70	    5	   0.937600000000000	   0.000000000000000
   70	    6	  -4.656000000000001	   0.001203703702875
   71	    0	   4.733333333333333	   0.000000000000000
   71	    1	   2.876906666666667	   0.000000000000000
   71	    2	   2.412800000000000	   0.000312278199748
   71	    3	   1.948693333333333	   0.000520115679726
   71	    4	   1.484586666666667	   0.000000000000000
   71	    5	   1.020480000000000	   0.000000000000000
   71	    6	  -4.548800000000000	   0.001161649403622
   72	    0	   4.800000000000000	   0.000000000000000
   72	    1	   2.951680000000001	   0.000000000000000
   72	    2	   2.489600000000000	   0.000265345789826
   72	    3	   2.027520000000000	   0.000486340452614
   72	    4	   1.565440000000000	   0.000000000000000
   72	    5	   1.103360000000000	   0.000000000000000
   72	    6	  -4.441600000000000	   0.001228116365544
   73	    0	   4.866666666666666	   0.000000000000000
   73	    1	   3.026453333333334	   0.000000000000000
   73	    2	   2.566400000000000	   0.000224369893891
   73	    3	   2.106346666666666	   0.000454803972354
   73	    4	   1.646293333333333	   0.000000000000000
   73	    5	   1.186240000000000	   0.000000000000000
   73	    6	  -4.334400000000000	   0.001057201692264
   74	    0	   4.933333333333334	   0.000000000000000
   74	    1	   3.101226666666667	   0.000000000000000
   74	    2	   2.643199999999999	   0.000191639703962
   74	    3	   2.185173333333333	   0.000423554606815
   74	    4	   1.727146666666667	   0.000000000000000
   74	    5	   1.269120000000000	   0.000000000000000
   74	    6	  -4.227200000000001	   0.001017552217788
   75	    0	   5.000000000000000	   0.000000000000000
   75	    1	   3.176000000000000	   0.000000000000000
   75	    2	   2.719999999999999	   0.000158559059474
   75	    3	   2.263999999999999	   0.000400372895550
   75	    4	   1.808000000000000	   0.000000000000000
   75	    5	   1.351999999999999	   0.000000000000000
   75	    6	  -4.120000000000001	   0.001059992238791
   76	    0	   5.066666666666666	   0.000000000000000
   76	    1	   3.250773333333334	   0.000000000000000
   76	    2	   2.796800000000000	   0.000134955680152
   76	    3	   2.342826666666666	   0.000376318329458
   76	    4	   1.888853333333334	   0.000000000000000
   76	    5	   1.434880000000000	   0.000000000000000
   76	    6	  -4.012800000000000	   0.000965339967192
   77	    0	   5.133333333333333	   0.000000000000000
   77	    1	   3.325546666666668	   0.000000000000000
   77	    2	   2.873600000000000	   0.000119747040699
   77	    3	   2.421653333333334	   0.000347846886058
   77	    4	   1.969706666666668	   0.000000000000000
   77	    5	   1.517760000000000	   0.000000000000000
   77	    6	  -3.905600000000000	   0.000920447544509
   78	    0	   5.200000000000000	   0.000000000000000
   78	    1	   3.400320000000000	   0.000000000000000
   78	    2	   2.950400000000000	   0.000080522809164
